"","time","lat","lon","ugrd10m","vgrd10m","dir","speed"
"562",2015-02-12,41,4.5,-2.31,0.7,286.858398767738,2.41373155093933
"563",2015-02-12,41,5,-2.24,0.53999996,283.553763130787,2.30417012323309
"221",2015-02-12,40.5,-10,-2.21,1.76,308.5331179586,2.82519025907991
"222",2015-02-12,40.5,-9.5,-2.4199998,0.31,277.299787464679,2.43977438137219
"223",2015-02-12,40.5,-9,-2.24,0.42999998,280.866551307945,2.28089894182097
"224",2015-02-12,40.5,-8.5,-1.4,-0.02,269.181544538311,1.40014284985497
"225",2015-02-12,40.5,-8,-1.16,-0.17999999,261.179620930295,1.17388244573296
"226",2015-02-12,40.5,-7.5,-0.53,0.08,278.583621480114,0.536003731330296
"227",2015-02-12,40.5,-7,-0.16,-0.19,220.100907546212,0.248394846967484
"228",2015-02-12,40.5,-6.5,-0.099999994,-0.06,239.036241951273,0.116619032751948
"229",2015-02-12,40.5,-6,-0.35999998,0.61,329.452429644373,0.70830783251352
"230",2015-02-12,40.5,-5.5,-0.24,0.44,331.389540334035,0.501198563445667
"231",2015-02-12,40.5,-5,-0.13,0.69,349.330217195503,0.702139587261678
"232",2015-02-12,40.5,-4.5,-1.1999999,-0.17999999,261.469234156573,1.21342480459236
"233",2015-02-12,40.5,-4,-2.04,-2.06,224.720510609455,2.89917229567337
"234",2015-02-12,40.5,-3.5,-2.1299999,-1.04,243.975457949492,2.37033743884705
"235",2015-02-12,40.5,-3,-1.5999999,0.22,277.829076993309,1.61505407958991
"236",2015-02-12,40.5,-2.5,-1.76,0.59999996,288.824708851644,1.85946227496016
"237",2015-02-12,40.5,-2,-1.9699999,2.29,319.29584194916,3.0207614281833
"238",2015-02-12,40.5,-1.5,-0.44,2.8799999,351.313645121754,2.91341713868783
"239",2015-02-12,40.5,-1,-1.27,1.91,326.379213914877,2.29368698823532
"240",2015-02-12,40.5,-0.5,0.41,2.07,11.2034348652293,2.11021325936503
"542",2015-02-12,40.5,0,0.35999998,0.91999996,21.3706220345244,0.987927078280579
"543",2015-02-12,40.5,0.5,0.59999996,-1.38,156.501435720765,1.50479232852909
"544",2015-02-12,40.5,1,-1.26,-2.54,206.384307992669,2.83534830311904
"545",2015-02-12,40.5,1.5,-3.47,-0.39999998,263.424322984146,3.49297866927355
"546",2015-02-12,40.5,2,-4.16,0.96999997,283.125313687584,4.27159220218878
"547",2015-02-12,40.5,2.5,-4.2,1.5,289.653824058053,4.45982062419555
"548",2015-02-12,40.5,3,-3.61,1.8499999,297.13356711099,4.05642695361324
"549",2015-02-12,40.5,3.5,-2.96,1.78,301.020654010404,3.45398320783411
