spcode,x,y
temlon,-71.5071,41.4903
temsch,-71.5071,41.4903
forsub3,-71.898,42.459
forase,-71.898,42.459
lasali,-71.898,42.459
lasnea,-71.898,42.459
forsub2,-71.898,42.459
myrdet,-71.898,42.459
myrpun,-71.898,42.459
aphrud,-71.898,42.459
lasumb,-71.898,42.459
forneo1,-71.898,42.459
dolpla,-71.898,42.459
lasneo,-71.898,42.459
campen,-71.898,42.459
tetcae,-71.898,42.459
forint,-71.898,42.459
solmol,-71.898,42.459
myrinc,-71.898,42.459
tapses,-71.898,42.459
lasali,-72.6155,42.2674
campen,-72.6155,42.2674
camchr,-72.6155,42.2674
aphrud,-72.6155,42.2674
ponpen,-72.6155,42.2674
tetcae,-72.6155,42.2674
lasfla,-72.6155,42.2674
lasali,-72.6321,42.2721
ponpen,-72.6321,42.2721
campen,-72.6321,42.2721
camnea,-72.6321,42.2721
lasneo,-70.4375,41.61603936
forsub3,-70.4375,41.61603936
tetcae,-70.0589,41.93
forsub3,-70.0589,41.93
monema,-70.0589,41.93
crelin,-70.0589,41.93
lasneo,-70.0589,41.93
myrrub,-70.62083333,42.64937269
lasneo,-70.00416667,41.55770602
forsub3,-70.00416667,41.55770602
lasneo,-71.6193,42.515
myrscu,-71.6193,42.515
monema,-71.6193,42.515
lascla,-71.6193,42.515
tetcae,-71.6193,42.515
forexs,-71.6193,42.515
solmol,-71.6193,42.515
myrala,-69.1956,45.9756
myrbre,-71.2263,44.3553
myrbre,-71.5204,44.2967
myrlat,-72.612,41.7823
myrlat,-72.1903,42.5316
myreva,-72.7375,41.26603936
myrfra,-71.7948,45.01
myrfra,-72.612,41.7823
myrfra,-72.157,41.6998
myrinc,-71.7901,44.9873
myrlob,-73.28,44.55
myrpin,-72.7326,41.2629
myrpun,-72.7375,41.26603936
myrpun,-72.7326,41.2629
myrpun,-72.6056,42.5445
myrpun,-72.5314,42.6076
myrpun,-72.5156,42.9042
myrscu,-70.0125,43.74937269
myrscu,-71.0963,42.3032
myrscu,-72.6056,42.5445
myrscu,-68.672,44.8831
myrscu,-68.2239,44.3529
myrscu,-71.1801,42.4204
myrsmi,-72.72916667,41.26603936
myrsmi,-72.5181,42.5565
forpod,-71.5204,44.2967
forpod,-71.3523,44.3587
forpod,-71.7948,45.01
forgla,-70.4219,44.6986
forgla,-68.672,44.8831
forgla,-68.3384,44.7092
forgla,-68.7985,45.2492
forgla,-70.0808,45.4671
forgla,-69.7795,44.3106
forgla,-71.9109,44.2134
forgla,-71.7948,45.01
forgla,-70.0125,43.74937269
ambpal,-68.2734,44.3386
aphpic,-68.2734,44.3386
bradep,-68.2734,44.3386
camcar,-68.2734,44.3386
camher,-68.2734,44.3386
camnov,-68.2734,44.3386
campen,-68.2734,44.3386
crecer,-68.2734,44.3386
crelin,-68.2734,44.3386
dolmar,-68.2734,44.3386
dolpla,-68.2734,44.3386
dolpus,-68.2734,44.3386
doltas,-68.2734,44.3386
forarg,-68.2734,44.3386
forase,-68.2734,44.3386
forfos,-68.2734,44.3386
forint,-68.2734,44.3386
forexs,-68.2734,44.3386
forgla,-68.2734,44.3386
forsub1,-68.2734,44.3386
forlas,-68.2734,44.3386
forneo1,-68.2734,44.3386
forneo2,-68.2734,44.3386
forobs,-68.2734,44.3386
forref,-68.2734,44.3386
forsub3,-68.2734,44.3386
lasali,-68.2734,44.3386
lascla,-68.2734,44.3386
lasfla,-68.2734,44.3386
lasint,-68.2734,44.3386
lasmin,-68.2734,44.3386
lasneo,-68.2734,44.3386
laspal,-68.2734,44.3386
lassub2,-68.2734,44.3386
lasumb,-68.2734,44.3386
lepcan,-68.2734,44.3386
myrame2,-68.2734,44.3386
myrdet,-68.2734,44.3386
myrfra,-68.2734,44.3386
myrinc,-68.2734,44.3386
myrscu,-68.2734,44.3386
myrrub,-68.2734,44.3386
myrlob,-68.2734,44.3386
ponpen,-68.2734,44.3386
stebre,-68.2734,44.3386
stedie,-68.2734,44.3386
