x,y,species median
741.0,741.0,5.2882664E-5
742.0,742.0,7.398427E-8
743.0,743.0,2.3310969E-4
744.0,744.0,0.042154115
745.0,745.0,2.743111E-5
746.0,746.0,0.69461
747.0,747.0,0.81451625
748.0,748.0,0.122752994
749.0,749.0,2.5950781E-5
750.0,750.0,8.600455E-5
751.0,751.0,0.11727037
752.0,752.0,2.5863956E-6
753.0,753.0,0.4895144
754.0,754.0,0.21276142
755.0,755.0,0.056475095
756.0,756.0,0.6169919
757.0,757.0,0.6250856
758.0,758.0,2.4509638E-5
759.0,759.0,0.7077713
760.0,760.0,2.4884908E-5
761.0,761.0,0.046057507
762.0,762.0,5.2211364E-4
763.0,763.0,0.04351809
764.0,764.0,2.6271575E-5
765.0,765.0,1.1345538E-5
766.0,766.0,0.11140452
767.0,767.0,0.29383922
768.0,768.0,0.011458299
769.0,769.0,1.6202159E-6
770.0,770.0,0.059843864
771.0,771.0,1.2536353E-4
772.0,772.0,0.972398
773.0,773.0,0.16885984
774.0,774.0,1.2061144E-5
775.0,775.0,0.0019050403
776.0,776.0,0.5027969
777.0,777.0,0.0018790333
778.0,778.0,0.06425422
779.0,779.0,0.045384094
780.0,780.0,0.023204062
781.0,781.0,0.725594
782.0,782.0,0.4191997
783.0,783.0,0.45177868
784.0,784.0,3.6269535E-5
785.0,785.0,0.011083235
786.0,786.0,1.3481074E-6
787.0,787.0,8.713028E-5
788.0,788.0,8.218609E-7
789.0,789.0,2.7600952E-6
790.0,790.0,0.027823387
791.0,791.0,3.009841E-5
792.0,792.0,0.0095324
793.0,793.0,5.2760093E-5
794.0,794.0,3.399141E-7
795.0,795.0,3.5451178E-4
796.0,796.0,1.1583136E-4
797.0,797.0,0.13699058
798.0,798.0,1.7219284E-4
799.0,799.0,0.24875905
800.0,800.0,3.3653447E-5
801.0,801.0,3.811152E-5
802.0,802.0,1.1283668E-4
803.0,803.0,2.3135672E-5
804.0,804.0,7.5090263E-4
805.0,805.0,0.12955415
806.0,806.0,1.3959043E-8
807.0,807.0,0.0010116044
808.0,808.0,0.14484295
809.0,809.0,0.015867183
810.0,810.0,0.20835145
811.0,811.0,0.0066085123
812.0,812.0,0.07764849
813.0,813.0,0.054182537
814.0,814.0,2.7702163E-5
815.0,815.0,2.9585828E-5
816.0,816.0,0.990987
817.0,817.0,5.9373735E-5
818.0,818.0,2.2480899E-4
819.0,819.0,9.69081E-4
820.0,820.0,0.001442792
821.0,821.0,8.533627E-7
822.0,822.0,1.0067814E-4
823.0,823.0,0.055017475
824.0,824.0,5.3404435E-4
825.0,825.0,0.55500543
826.0,826.0,3.603504E-4
827.0,827.0,0.07877732
828.0,828.0,0.34748834
829.0,829.0,0.46324715
830.0,830.0,0.02850704
831.0,831.0,0.0013327238
832.0,832.0,1.2423449E-4
833.0,833.0,4.281582E-6
834.0,834.0,0.002148881
835.0,835.0,0.9643429
836.0,836.0,0.0021068002
837.0,837.0,2.2997272E-8
838.0,838.0,4.4768244E-6
839.0,839.0,0.7236682
840.0,840.0,0.014541968
841.0,841.0,2.6453468E-5
842.0,842.0,1.8041843E-5
843.0,843.0,1.8480805E-6
844.0,844.0,0.09213013
845.0,845.0,1.1089339E-4
846.0,846.0,2.7018373E-6
847.0,847.0,0.32879183
848.0,848.0,3.18342E-5
849.0,849.0,2.420134E-6
850.0,850.0,0.041163
851.0,851.0,0.039957013
852.0,852.0,0.032221716
853.0,853.0,0.45709398
854.0,854.0,0.046554916
855.0,855.0,0.10568388
856.0,856.0,0.03571162
857.0,857.0,0.26218104
858.0,858.0,0.33000076
859.0,859.0,1.1142682E-6
860.0,860.0,0.49510744
861.0,861.0,0.0010243838
862.0,862.0,0.07989618
863.0,863.0,0.2286997
864.0,864.0,0.4819149
865.0,865.0,5.4740923E-8
866.0,866.0,0.08089941
867.0,867.0,6.0472667E-4
868.0,868.0,3.0838946E-6
869.0,869.0,0.20131268
870.0,870.0,6.495569E-5
871.0,871.0,0.36198223
872.0,872.0,9.632364E-6
873.0,873.0,4.5724522E-4
874.0,874.0,0.013916218
875.0,875.0,0.45650268
876.0,876.0,2.290619E-7
877.0,877.0,9.453444E-5
878.0,878.0,0.40527928
879.0,879.0,0.16263881
880.0,880.0,0.110652395
881.0,881.0,0.061625823
882.0,882.0,0.9448874
883.0,883.0,0.42812434
884.0,884.0,5.381423E-4
885.0,885.0,7.195731E-5
886.0,886.0,0.46903893
887.0,887.0,1.7255232E-5
888.0,888.0,0.04052225
889.0,889.0,5.216295E-6
890.0,890.0,0.033713583
891.0,891.0,3.2002372E-8
892.0,892.0,0.4879356
893.0,893.0,0.0025915974
894.0,894.0,8.942765E-6
895.0,895.0,0.5173164
896.0,896.0,0.33333427
897.0,897.0,1.6569493E-5
898.0,898.0,3.9457354E-6
899.0,899.0,0.06249555
900.0,900.0,0.00452171
901.0,901.0,0.004515201
902.0,902.0,0.10378154
903.0,903.0,6.307142E-5
904.0,904.0,7.6493074E-4
905.0,905.0,0.018554088
906.0,906.0,0.23023406
907.0,907.0,0.5142454
908.0,908.0,1.94349E-5
909.0,909.0,0.0069797444
910.0,910.0,0.01610739
911.0,911.0,2.159758E-6
912.0,912.0,1.1353956E-5
913.0,913.0,0.015678778
914.0,914.0,0.08833813
915.0,915.0,0.21960731
916.0,916.0,1.22714255E-5
917.0,917.0,0.35089976
918.0,918.0,3.5232241E-4
919.0,919.0,9.55692E-7
920.0,920.0,1.1105014E-5
921.0,921.0,0.046306442
922.0,922.0,7.854294E-5
923.0,923.0,0.02611497
924.0,924.0,0.055058777
925.0,925.0,0.037844557
926.0,926.0,0.21146676
927.0,927.0,0.45847294
928.0,928.0,0.0016828415
929.0,929.0,0.026052227
930.0,930.0,0.29035556
