x,y,species_4 cloglog values
676.0,676.0,0.46983358
677.0,677.0,0.105457924
678.0,678.0,0.08089992
679.0,679.0,0.86029196
680.0,680.0,2.6391517E-5
681.0,681.0,2.1577126E-4
682.0,682.0,0.11553849
683.0,683.0,5.93392E-6
684.0,684.0,0.35614407
685.0,685.0,3.8548398E-5
686.0,686.0,0.009564472
687.0,687.0,0.1485829
688.0,688.0,3.1300547E-4
689.0,689.0,0.008270457
690.0,690.0,0.5855543
691.0,691.0,0.041914884
692.0,692.0,4.2782434E-5
693.0,693.0,0.0073429365
694.0,694.0,6.8291815E-6
695.0,695.0,0.3117333
696.0,696.0,0.060292743
697.0,697.0,0.6615731
698.0,698.0,0.7109013
699.0,699.0,4.8702127E-6
700.0,700.0,0.7311943
701.0,701.0,0.019364703
702.0,702.0,0.54279053
703.0,703.0,0.022883978
704.0,704.0,7.801577E-7
705.0,705.0,1.821591E-4
706.0,706.0,0.39060345
707.0,707.0,0.82429683
708.0,708.0,0.647243
709.0,709.0,0.16645841
710.0,710.0,0.24488728
711.0,711.0,0.16509913
712.0,712.0,1.823509E-4
713.0,713.0,0.75309867
714.0,714.0,0.27191964
715.0,715.0,0.32286906
716.0,716.0,0.012409505
717.0,717.0,1.5095269E-6
718.0,718.0,1.010873E-4
719.0,719.0,0.7320454
720.0,720.0,0.07608983
721.0,721.0,2.567197E-5
722.0,722.0,0.4573105
723.0,723.0,0.011475118
724.0,724.0,0.010110339
725.0,725.0,3.7101617E-7
726.0,726.0,0.68288225
727.0,727.0,6.7270906E-7
728.0,728.0,1.5626302E-8
729.0,729.0,0.6069493
730.0,730.0,3.3495258E-4
731.0,731.0,0.10589776
732.0,732.0,1.02303224E-4
733.0,733.0,0.16623545
734.0,734.0,0.08100438
735.0,735.0,0.031426635
736.0,736.0,2.2879003E-6
737.0,737.0,0.03512526
738.0,738.0,1.0383712E-8
739.0,739.0,2.9187144E-5
740.0,740.0,0.9517755
741.0,741.0,3.7404883E-5
742.0,742.0,2.501259E-7
743.0,743.0,8.649138E-4
744.0,744.0,0.0405174
745.0,745.0,7.2726085E-5
746.0,746.0,0.6159133
747.0,747.0,0.81451625
748.0,748.0,0.1750199
749.0,749.0,1.0990003E-5
750.0,750.0,8.600455E-5
751.0,751.0,0.1619339
752.0,752.0,1.4936858E-6
753.0,753.0,0.5425278
754.0,754.0,0.21276142
755.0,755.0,0.1015328
756.0,756.0,0.5816819
757.0,757.0,0.76255524
758.0,758.0,2.4509638E-5
759.0,759.0,0.7197557
760.0,760.0,4.1847223E-5
761.0,761.0,0.063113056
762.0,762.0,6.560616E-4
763.0,763.0,0.08087924
764.0,764.0,1.11099425E-5
765.0,765.0,1.1345538E-5
766.0,766.0,0.11140452
767.0,767.0,0.32437828
768.0,768.0,0.011084718
769.0,769.0,5.944803E-6
770.0,770.0,0.086100586
771.0,771.0,1.2536353E-4
772.0,772.0,0.26483247
773.0,773.0,0.18709739
774.0,774.0,1.2061144E-5
775.0,775.0,0.0026166616
776.0,776.0,0.5744176
777.0,777.0,0.0018790333
778.0,778.0,0.11612411
779.0,779.0,0.0833831
780.0,780.0,0.045700453
781.0,781.0,0.6898987
782.0,782.0,0.41207516
783.0,783.0,0.4109393
784.0,784.0,3.6269535E-5
785.0,785.0,0.017898409
786.0,786.0,2.1705564E-7
787.0,787.0,6.482429E-5
788.0,788.0,1.8982361E-7
789.0,789.0,3.1068876E-6
790.0,790.0,0.033495586
791.0,791.0,3.009841E-5
792.0,792.0,0.007813771
793.0,793.0,4.5942466E-5
794.0,794.0,3.399141E-7
795.0,795.0,3.5451178E-4
796.0,796.0,1.7556502E-4
797.0,797.0,0.10049669
798.0,798.0,1.8527148E-4
799.0,799.0,0.2915294
800.0,800.0,1.4798409E-5
801.0,801.0,3.2299886E-5
802.0,802.0,1.1283668E-4
803.0,803.0,2.3135672E-5
804.0,804.0,0.0025140762
805.0,805.0,0.12955415
806.0,806.0,4.49091E-9
807.0,807.0,7.8753923E-4
808.0,808.0,0.1823286
809.0,809.0,0.02448621
810.0,810.0,0.45667136
811.0,811.0,0.003062037
812.0,812.0,0.10136649
813.0,813.0,0.09933664
814.0,814.0,7.3594247E-6
815.0,815.0,1.229524E-4
816.0,816.0,0.9959843
817.0,817.0,5.590014E-5
818.0,818.0,1.8808729E-4
819.0,819.0,9.69081E-4
820.0,820.0,0.004065052
821.0,821.0,8.533627E-7
822.0,822.0,1.4252795E-4
823.0,823.0,0.101174265
824.0,824.0,7.73336E-4
825.0,825.0,0.49505636
826.0,826.0,3.603504E-4
827.0,827.0,0.056745272
828.0,828.0,0.34748834
829.0,829.0,0.5556251
830.0,830.0,0.052355822
831.0,831.0,0.0045646285
832.0,832.0,9.4583855E-5
833.0,833.0,4.281582E-6
834.0,834.0,0.0030162234
835.0,835.0,0.9746155
836.0,836.0,0.0021833542
837.0,837.0,3.431833E-9
838.0,838.0,3.138519E-5
839.0,839.0,0.87754375
840.0,840.0,0.02786072
841.0,841.0,2.6453468E-5
842.0,842.0,2.1780148E-5
843.0,843.0,1.8480805E-6
844.0,844.0,0.13082233
845.0,845.0,9.364024E-5
846.0,846.0,2.7018373E-6
847.0,847.0,0.34303176
848.0,848.0,1.6250124E-5
849.0,849.0,2.6569226E-6
850.0,850.0,0.041163
851.0,851.0,0.060116246
852.0,852.0,0.038371995
853.0,853.0,0.6362258
854.0,854.0,0.05847218
855.0,855.0,0.1554448
856.0,856.0,0.05050832
857.0,857.0,0.2797353
858.0,858.0,0.36279845
859.0,859.0,1.1142682E-6
860.0,860.0,0.5205844
861.0,861.0,0.0010243838
862.0,862.0,0.08559875
863.0,863.0,0.27103156
864.0,864.0,0.57836795
865.0,865.0,1.8881596E-9
866.0,866.0,0.1128774
867.0,867.0,4.136893E-4
868.0,868.0,3.0838946E-6
869.0,869.0,0.20131268
870.0,870.0,6.495569E-5
871.0,871.0,0.41516092
872.0,872.0,5.7781212E-6
873.0,873.0,8.1289816E-4
874.0,874.0,0.024228694
875.0,875.0,0.60333306
876.0,876.0,6.288088E-7
877.0,877.0,1.1916309E-4
878.0,878.0,0.42417708
879.0,879.0,0.31821543
880.0,880.0,0.110652395
881.0,881.0,0.059913967
882.0,882.0,0.9448874
883.0,883.0,0.44279987
884.0,884.0,2.0985313E-4
885.0,885.0,6.08737E-5
886.0,886.0,0.52767867
887.0,887.0,1.3589439E-5
888.0,888.0,0.061683897
889.0,889.0,3.5404788E-5
890.0,890.0,0.040644042
891.0,891.0,8.467851E-9
892.0,892.0,0.49826884
893.0,893.0,0.0061440757
894.0,894.0,2.6232845E-5
895.0,895.0,0.56591296
